Calprotectin_Day3,Calp_log2,Treatment,Calprotectin_Day7-8,Calprotectin_Day12,IgA_Day3,IgA_Day7-8,IgA_Day12
1.440884452,0.52695464695578,Bacteroides,2.113425777,3.11509787,533.8563,1636.584,906.4612
2.410609477,1.26939795072089,Bacteroides,1.934129877,40.72259232,903.2952,2102.642,892.2092
3.53235138,1.82062886194704,Bacteroides,1.85353175,7.453207649,1635.037,1173.718,1021.639
2.372977461,1.24669839759973,Bacteroides,2.060971396,3.499243749,,15.97108,1520.519
1.06402356,0.0895300958756179,Bacteroides,2.285534703,1.113376601,2070.264,1534.458,1413.531
2.194722169,1.1340383198175,Bacteroides,3.469591508,2.484088087,846.1988,1192.468,1178.406
402.2868965,8.65208093628327,Bacteroides,5.146828394,2.267213499,1877.489,1631.945,519.1097
3.851862037,1.94555603077733,Bacteroides,3.786067042,2.804578118,1658.228,1803.418,1245.529
5.48270288,2.45488729286411,Bacteroides,2.146253265,6.481801173,1170.591,1529.812,474.685
17.44252348,4.12453687059384,Bacteroides,1.900719196,,811.1994,887.4558,
3.502546898,1.80840436801771,Bacteroides,5.782360442,,909.6267,839.8416,
2.878327364,1.52523068504583,Bacteroides,4.150152911,,574.6713,1184.657,
4.90550405,2.29440138375827,Bacteroides,3.883243324,,439.9221,595.8151,
2.634623516,1.39759681749599,PBS,2.728975411,1.781648537,636.3351,3973.841,2540.785
1.461437166,0.547387802288741,PBS,0.899049618,2.467656647,1118.954,758.5314,1809.592
3.333022377,1.73683100334032,PBS,3.246796383,3.168048545,1726.215,3002.115,925.445
9.276095918,3.21351773802051,PBS,6.776754467,3.939374413,849.3764,1060.93,1229.933
4.732551172,2.24261810554684,PBS,8.586189528,1.711289152,1662.865,977.5452,1264.235
4.755936052,2.24972931683237,PBS,11.11606623,1.946138106,1032.648,545.3058,1026.358
5.856455845,2.55002785207242,PBS,1.078002671,1.928140737,479.6356,564.8947,873.187
2.723206042,1.44530614305961,PBS,2.628962816,2.082117498,788.8812,434.9396,724.9004
1.967853616,0.976622905979216,PBS,2.478604404,13.8175777,1158.082,441.582,1621.12
1.447033907,0.533098727597093,PBS,3.025884592,3.806777835,804.8265,1073.488,678.2951
3.522401321,1.81655929043894,PBS,2.358280755,,620.1485,748.9321,
